defined_class	defined_class_name	stressor
ECTO:3000084	exposure to Gardnerella vaginalis	NCBITaxon:2702
ECTO:3000085	exposure to Bacteroides	NCBITaxon:816
ECTO:3000086	exposure to Rhizopus microsporus var. rhizopodiformis	NCBITaxon:90259
ECTO:3000087	exposure to Grass carp reovirus	NCBITaxon:128987
ECTO:3000088	exposure to Giardiavirus	NCBITaxon:11011
ECTO:3000089	exposure to Calanus	NCBITaxon:6836
ECTO:3000090	exposure to Centropages	NCBITaxon:136182
ECTO:3000091	exposure to Myzus persicae	NCBITaxon:13164
ECTO:3000092	exposure to Lactobacillus	NCBITaxon:1578
ECTO:3000093	exposure to Heligmosomoides polygyrus	NCBITaxon:6339
ECTO:3000094	exposure to Hepatitis B virus	NCBITaxon:10407
ECTO:3000095	exposure to Hepatitis C virus HCV-476	NCBITaxon:31643
ECTO:3000096	exposure to Hepatitis E virus	NCBITaxon:291484
ECTO:3000097	exposure to Human alphaherpesvirus 1	NCBITaxon:10298
ECTO:3000098	exposure to Human immunodeficiency virus type 1 (HXB3 ISOLATE)	NCBITaxon:11707
ECTO:3000099	exposure to Human betaherpesvirus 5	NCBITaxon:10359
ECTO:3000100	exposure to Human betaherpesvirus 6	NCBITaxon:10368
ECTO:3000101	exposure to Ichthyophthirius multifiliis	NCBITaxon:5932
ECTO:3000102	exposure to Trypanosoma brucei	NCBITaxon:5691
ECTO:3000103	exposure to Newcastle disease virus (strain H)	NCBITaxon:71570
ECTO:3000104	exposure to Infectious bronchitis virus	NCBITaxon:11120
ECTO:3000107	exposure to Influenza A virus	NCBITaxon:11320
ECTO:3000110	exposure to Bacillus thuringiensis serovar kurstaki str. HD-1	NCBITaxon:1261129
ECTO:3000111	exposure to Penicillium roqueforti	NCBITaxon:5082
ECTO:3000113	exposure to ammonia-oxidizing bacterium enrichment culture isolate DGGE gel band AOB4	NCBITaxon:1385647
ECTO:3000114	exposure to Plasmodium knowlesi	NCBITaxon:5850
ECTO:3000115	exposure to Bacillus thuringiensis IBL 4222	NCBITaxon:527020
ECTO:3000116	exposure to Human gammaherpesvirus 8	NCBITaxon:37296
ECTO:3000117	exposure to Klebsiella pneumoniae	NCBITaxon:573
ECTO:3000118	exposure to Lachnospiraceae bacterium	NCBITaxon:1898203
ECTO:3000119	exposure to Lacticaseibacillus paracasei	NCBITaxon:1597
ECTO:3000120	exposure to Lactobacillus crispatus	NCBITaxon:47770
ECTO:3000121	exposure to Lactobacillus johnsonii	NCBITaxon:33959
ECTO:3000122	exposure to Lacticaseibacillus rhamnosus	NCBITaxon:47715
ECTO:3000123	exposure to Leuconostoc lactis	NCBITaxon:1246
ECTO:3000124	exposure to Limosilactobacillus fermentum	NCBITaxon:1613
ECTO:3000125	exposure to Listeria monocytogenes	NCBITaxon:1639
ECTO:3000126	exposure to Pyricularia oryzae	NCBITaxon:318829
ECTO:3000127	exposure to Manduca sexta	NCBITaxon:7130
ECTO:3000128	exposure to Mayaro virus	NCBITaxon:59301
ECTO:3000129	exposure to Meloidogyne incognita	NCBITaxon:6306
ECTO:3000130	exposure to Middle East respiratory syndrome-related coronavirus	NCBITaxon:1335626
ECTO:3000131	exposure to Bacteroides thetaiotaomicron VPI-5482	NCBITaxon:226186
ECTO:3000132	exposure to Mycobacterium avium subsp. paratuberculosis	NCBITaxon:1770
ECTO:3000133	exposure to Mycobacterium tuberculosis subsp. tuberculosis	NCBITaxon:182785
ECTO:3000134	exposure to Mycobacterium tuberculosis	NCBITaxon:1773
ECTO:3000135	exposure to Nippostrongylus brasiliensis	NCBITaxon:27835
ECTO:3000136	exposure to Ophiocordyceps sinensis	NCBITaxon:72228
ECTO:3000137	exposure to Lacticaseibacillus paracasei subsp. paracasei	NCBITaxon:47714
ECTO:3000138	exposure to Lacticaseibacillus rhamnosus GG	NCBITaxon:568703
ECTO:3000139	exposure to Chlamydia	NCBITaxon:810
ECTO:3000140	exposure to Ostreid herpesvirus 1	NCBITaxon:261939
ECTO:3000141	exposure to Ostreid herpesvirus 1 (isolate France)	NCBITaxon:654903
ECTO:3000142	exposure to Parabacteroides distasonis	NCBITaxon:823
ECTO:3000143	exposure to Parabacteroides goldsteinii	NCBITaxon:328812
ECTO:3000144	exposure to Paracoccidioides brasiliensis	NCBITaxon:121759
ECTO:3000145	exposure to Lysiphlebia japonica	NCBITaxon:104022
ECTO:3000146	exposure to Bacillus thuringiensis	NCBITaxon:1428
ECTO:3000147	exposure to Botrytis cinerea	NCBITaxon:40559
ECTO:3000148	exposure to Pediococcus acidilactici	NCBITaxon:1254
ECTO:3000149	exposure to Porcine epidemic diarrhea virus	NCBITaxon:28295
ECTO:3000150	exposure to Aliivibrio fischeri ES114	NCBITaxon:312309
ECTO:3000151	exposure to Phytophthora infestans	NCBITaxon:4787
ECTO:3000152	exposure to Plasmodiophora brassicae	NCBITaxon:37360
ECTO:3000153	exposure to Plasmodium coatneyi	NCBITaxon:208452
ECTO:3000154	exposure to Plasmodium cynomolgi	NCBITaxon:5827
ECTO:3000155	exposure to Plasmodium falciparum	NCBITaxon:5833
ECTO:3000156	exposure to Plasmodium	NCBITaxon:5820
ECTO:3000157	exposure to Plasmodium yoelii yoelii 17XNL	NCBITaxon:352914
ECTO:3000158	exposure to Plasmodium sp. vivax/simium	NCBITaxon:2052898
ECTO:3000159	exposure to Plutella xylostella	NCBITaxon:51655
ECTO:3000160	exposure to Ligilactobacillus salivarius	NCBITaxon:1624
ECTO:3000161	exposure to Pseudogymnoascus destructans	NCBITaxon:655981
ECTO:3000162	exposure to Pseudomonas aeruginosa	NCBITaxon:287
ECTO:3000163	exposure to Pseudomonas syringae pv. tomato str. DC3000	NCBITaxon:223283
ECTO:3000164	exposure to Suid alphaherpesvirus 1	NCBITaxon:10345
ECTO:3000165	exposure to Rhizoctonia solani	NCBITaxon:456999
ECTO:3000166	exposure to Rhizophagus intraradices	NCBITaxon:4876
ECTO:3000167	exposure to Rickettsia parkeri	NCBITaxon:35792
ECTO:3000168	exposure to Trichoderma virens	NCBITaxon:29875
ECTO:3000169	exposure to Roseburia inulinivorans	NCBITaxon:360807
ECTO:3000170	exposure to Rosenbergiella nectarea	NCBITaxon:988801
ECTO:3000171	exposure to Salmonella enterica	NCBITaxon:28901
ECTO:3000172	exposure to Salmonella enterica subsp. enterica serovar Typhimurium	NCBITaxon:90371
ECTO:3000173	exposure to Severe acute respiratory syndrome coronavirus 2	NCBITaxon:2697049
ECTO:3000174	exposure to Schistosoma mansoni	NCBITaxon:6183
ECTO:3000175	exposure to Simian immunodeficiency virus - mac	NCBITaxon:11711
ECTO:3000176	exposure to Aspergillus brasiliensis	NCBITaxon:319629
ECTO:3000177	exposure to Streptococcus agalactiae	NCBITaxon:1311
ECTO:3000178	exposure to Streptococcus anginosus	NCBITaxon:1328
ECTO:3000179	exposure to Streptococcus pneumoniae	NCBITaxon:1313
ECTO:3000180	exposure to Streptococcus salivarius	NCBITaxon:1304
ECTO:3000181	exposure to Symbiodinium	NCBITaxon:2949
ECTO:3000182	exposure to Enterobacteria phage T7.1	NCBITaxon:338882
ECTO:3000183	exposure to Tick-borne encephalitis virus	NCBITaxon:11084
ECTO:3000184	exposure to Tomato mottle mosaic virus	NCBITaxon:1391702
ECTO:3000185	exposure to Toxocara canis	NCBITaxon:6265
ECTO:3000186	exposure to Trypanosoma congolense	NCBITaxon:5692
ECTO:3000187	exposure to Trypanosoma cruzi	NCBITaxon:5693
ECTO:3000188	exposure to Varroa destructor	NCBITaxon:109461
ECTO:3000189	exposure to Vesicular stomatitis virus	NCBITaxon:11276
ECTO:3000190	exposure to Vibrio parahaemolyticus	NCBITaxon:670
ECTO:3000191	exposure to Marine virus AFVG_15N00002	NCBITaxon:2573277
ECTO:3000192	exposure to Wolbachia pipientis wMelPop	NCBITaxon:1317678
ECTO:3000193	exposure to Xanthomonas campestris pv. campestris	NCBITaxon:340
ECTO:3000194	exposure to Xanthomonas oryzae pv. oryzae	NCBITaxon:64187
ECTO:3000195	exposure to Akkermansia	NCBITaxon:239934
ECTO:3000197	exposure to Bifidobacterium longum	NCBITaxon:216816
ECTO:3000198	exposure to Burkholderia	NCBITaxon:32008
ECTO:3000199	exposure to Campylobacter coli	NCBITaxon:195
ECTO:3000201	exposure to Chikungunya virus	NCBITaxon:37124
ECTO:3000202	exposure to Clonorchis sinensis	NCBITaxon:79923
ECTO:3000204	exposure to Clostridium butyricum	NCBITaxon:1492
ECTO:3000205	exposure to Cytomegalovirus	NCBITaxon:10358
ECTO:3000207	exposure to Enterobacter ludwigii	NCBITaxon:299767
ECTO:3000209	exposure to Enterococcus faecium	NCBITaxon:1352
ECTO:3000211	exposure to Hendra virus	NCBITaxon:3052223
ECTO:3000212	exposure to Human papillomavirus	NCBITaxon:10566
ECTO:3000214	exposure to Respiratory syncytial virus	NCBITaxon:12814
ECTO:3000216	exposure to Lacticaseibacillus casei	NCBITaxon:1582
ECTO:3000217	exposure to Lactobacillus acidophilus	NCBITaxon:1579
ECTO:3000218	exposure to Lassa virus	NCBITaxon:3052310
ECTO:3000219	exposure to Limosilactobacillus reuteri	NCBITaxon:1598
ECTO:3000220	exposure to Mycoplasmoides pneumoniae	NCBITaxon:2104
ECTO:3000221	exposure to Myxobolus	NCBITaxon:35588
ECTO:3000222	exposure to Ophiocordyceps	NCBITaxon:474995
ECTO:3000228	exposure to Plasmodium vivax	NCBITaxon:5855
ECTO:3000229	exposure to Rhinovirus A	NCBITaxon:147711
ECTO:3000237	exposure to Shigella flexneri	NCBITaxon:623
ECTO:3000242	exposure to Yersinia ruckeri	NCBITaxon:29486
ECTO:3000243	exposure to Plasmopara viticola	NCBITaxon:143451
ECTO:3000244	exposure to Haemophilus influenzae	NCBITaxon:727
ECTO:3000245	exposure to Borreliella burgdorferi	NCBITaxon:139
ECTO:3000246	exposure to Edwardsiella piscicida	NCBITaxon:1263550
ECTO:3000247	exposure to Bacteroides uniformis	NCBITaxon:820
ECTO:3000248	exposure to Batrachochytrium dendrobatidis	NCBITaxon:109871
ECTO:3000249	exposure to Bifidobacterium animalis subsp. lactis	NCBITaxon:302911
ECTO:3000250	exposure to Cytobacillus oceanisediminis	NCBITaxon:665099
ECTO:3000251	exposure to Bombyx mori nucleopolyhedrovirus	NCBITaxon:271108
ECTO:3000252	exposure to Nilaparvata lugens	NCBITaxon:108931
ECTO:3000253	exposure to Haematobia irritans exigua	NCBITaxon:34678
ECTO:3000254	exposure to Burkholderia contaminans	NCBITaxon:488447
ECTO:3000255	exposure to Campylobacter jejuni	NCBITaxon:197
ECTO:3000256	exposure to Canid alphaherpesvirus 1	NCBITaxon:170325
ECTO:3000257	exposure to Cetobacterium somerae	NCBITaxon:188913
ECTO:3000258	exposure to Chlamydia trachomatis	NCBITaxon:813
ECTO:3000259	exposure to Christensenella intestinihominis	NCBITaxon:1851429
ECTO:3000260	exposure to Acetobacter fabarum	NCBITaxon:483199
ECTO:3000261	exposure to Eggerthella lenta	NCBITaxon:84112
ECTO:3000262	exposure to Cryptococcus neoformans	NCBITaxon:5207
ECTO:3000263	exposure to Dengue virus	NCBITaxon:12637
ECTO:3000264	exposure to Dubosiella newyorkensis	NCBITaxon:1862672
ECTO:3000265	exposure to Paxillus involutus	NCBITaxon:71150
ECTO:3000266	exposure to Veillonella	NCBITaxon:29465
ECTO:3000267	exposure to Edwardsiella tarda	NCBITaxon:636
ECTO:3000268	exposure to Cladosporium cladosporioides	NCBITaxon:29917
ECTO:3000269	exposure to Strigomonas culicis	NCBITaxon:28005
ECTO:3000270	exposure to Entamoeba histolytica	NCBITaxon:5759
ECTO:3000271	exposure to Enterococcus avium	NCBITaxon:33945
ECTO:3000272	exposure to Human herpesvirus 4 type 1	NCBITaxon:36352
ECTO:3000273	exposure to human gammaherpesvirus 4	NCBITaxon:10376
ECTO:3000274	exposure to Orthopoxvirus vaccinia	NCBITaxon:10245
ECTO:3000275	exposure to Breviolum minutum	NCBITaxon:2499525
ECTO:3000276	exposure to Durusdinium trenchii	NCBITaxon:1381693
ECTO:3000277	exposure to Plasmodium berghei	NCBITaxon:5821
ECTO:3000278	exposure to Fasciola hepatica	NCBITaxon:6192
ECTO:3000279	exposure to West Nile virus	NCBITaxon:11082
ECTO:3000280	exposure to Calanus finmarchicus	NCBITaxon:6837
ECTO:3000281	exposure to Centropages typicus	NCBITaxon:463189
ECTO:3000282	exposure to Lactobacillus apis	NCBITaxon:303541
ECTO:3000283	exposure to Bacteroides ovatus	NCBITaxon:28116
ECTO:3000284	exposure to Hepacivirus hominis	NCBITaxon:3052230
ECTO:3000285	exposure to Lymantria dispar	NCBITaxon:13123
ECTO:3000286	exposure to Sesamia nonagrioides	NCBITaxon:236805
ECTO:3000287	exposure to Oniscidea	NCBITaxon:41116
ECTO:3000288	exposure to Histomonas	NCBITaxon:135587
ECTO:3000289	exposure to Human immunodeficiency virus	NCBITaxon:12721
ECTO:3000290	exposure to Lagenisma	NCBITaxon:1682048
ECTO:3000291	exposure to Zymoseptoria tritici	NCBITaxon:1047171
ECTO:3000292	exposure to Acrocalymma vagum	NCBITaxon:1589764
ECTO:3000293	exposure to Phoma herbarum	NCBITaxon:73001
ECTO:3000294	exposure to Nigrospora oryzae	NCBITaxon:335854
ECTO:3000295	exposure to Talaromyces verruculosus	NCBITaxon:198730
ECTO:3000296	exposure to Pseudomonas	NCBITaxon:286
ECTO:3000297	exposure to Laccaria bicolor	NCBITaxon:29883
ECTO:3000298	exposure to Rhizophagus irregularis	NCBITaxon:588596
ECTO:3000299	exposure to Henosepilachna vigintioctopunctata	NCBITaxon:420089
ECTO:3000300	exposure to Massilia	NCBITaxon:149698
ECTO:3000301	exposure to Myxobolus bejeranoi	NCBITaxon:2015852
ECTO:3000302	exposure to Myxobolus cerebralis	NCBITaxon:59783
ECTO:3000303	exposure to avian paramyxovirus 1	NCBITaxon:2560319
ECTO:3000304	exposure to Papillibacter cinnamivorans	NCBITaxon:100176
ECTO:3000305	exposure to Oscillibacter ruminantium	NCBITaxon:1263547
ECTO:3000306	exposure to Phytophthora nicotianae	NCBITaxon:4792
ECTO:3000307	exposure to Potato virus Y	NCBITaxon:12216
ECTO:3000308	exposure to Triops cancriformis	NCBITaxon:194544
ECTO:3000309	exposure to Ligilactobacillus murinus	NCBITaxon:1622
ECTO:3000310	exposure to Streptococcus thermophilus	NCBITaxon:1308
ECTO:3000311	exposure to Bifidobacterium animalis	NCBITaxon:28025
ECTO:3000312	exposure to Romboutsia hominis	NCBITaxon:1507512
ECTO:3000313	exposure to Trichoderma harzianum	NCBITaxon:5544
ECTO:3000314	exposure to Ruminococcus intestinalis	NCBITaxon:2763066
ECTO:3000315	exposure to Sclerotinia sclerotiorum	NCBITaxon:5180
ECTO:3000316	exposure to Serratia entomophila	NCBITaxon:42906
ECTO:3000317	exposure to Deroceras reticulatum	NCBITaxon:145610
ECTO:3000318	exposure to Tetracapsuloides bryosalmonae	NCBITaxon:271932
ECTO:3000319	exposure to Tomato mosaic virus	NCBITaxon:12253
ECTO:3000320	exposure to Trichinella spiralis	NCBITaxon:6334
ECTO:3000321	exposure to Veillonella parvula	NCBITaxon:29466
ECTO:3000322	exposure to Zingiber mioga	NCBITaxon:136225
