cause,causeLabel,exposure,exposureLabel,symptom,symptomLabel,route,routeLabel
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q917069,Rhabdomyolysis,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q1128283,Mydriasis,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q1326943,water-electrolyte imbalance,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q1495657,Gastrointestinal bleeding,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q1527888,pancreatitis,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q3774744,respiratory arrest,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q4736316,altered level of consciousness,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q4930803,blurred vision,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q10916362,dizziness,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q21109189,Visual disturbance,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q21119839,eye pain,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q21402592,agitation,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q86,headache,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q10874,blindness,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q11072,Amnesia,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q40878,diarrhea,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q127076,vomiting,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q130741,hallucination,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q159557,coma,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q183425,abdominal pain,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q185935,mania,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q186889,nausea,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q209583,tachycardia,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q217111,bradycardia,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q254327,anorexia,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q275419,hypotension,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q281289,photophobia,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q373597,hematuria,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q476921,kidney failure,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q570920,Tachypnea,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q737460,visual impairment,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q852376,seizure,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q917069,Rhabdomyolysis,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q1128283,Mydriasis,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q1326943,water-electrolyte imbalance,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q1495657,Gastrointestinal bleeding,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q1527888,pancreatitis,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q3774744,respiratory arrest,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q4736316,altered level of consciousness,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q4930803,blurred vision,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q10916362,dizziness,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q21109189,Visual disturbance,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q21119839,eye pain,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q21402592,agitation,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q86,headache,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q9690,fatigue,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q40878,diarrhea,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q41861,hypertension,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q42982,type I hypersensitivity,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q77776,Irritation,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q107231,paralysis,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q127076,vomiting,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q159557,coma,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q178061,circulatory shock,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q183425,abdominal pain,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q186889,nausea,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q209583,tachycardia,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q213373,ataxia,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q217111,bradycardia,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q275419,hypotension,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q557945,mental confusion,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q600754,Bronchorrhea,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q633403,weakness,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q754424,apnea,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q761862,hypersalivation,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q1054088,Auditory hallucination,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q1067506,vasoconstriction,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q1166142,erythema,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q1419356,Hyporeflexia,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q1641075,Hyperpnea,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q1641494,hypoventilation,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q1753547,Hypotonia,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q5319561,Dysrhythmia,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q5603286,Green Tobacco Sickness,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q10916362,dizziness,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q21109189,Visual disturbance,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q21112290,skin irritation,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q21118175,restlessness,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q21119562,loss of balance,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q12144,Nicotine,http://www.wikidata.org/entity/Q7030575,nicotine poisoning,http://www.wikidata.org/entity/Q21402566,systemic toxicity,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q10874,blindness,http://www.wikidata.org/entity/Q21074571,eye contact
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q109186,swelling,http://www.wikidata.org/entity/Q21074571,eye contact
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q137056,corrosion,http://www.wikidata.org/entity/Q21074571,eye contact
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q167844,conjunctivitis,http://www.wikidata.org/entity/Q21074571,eye contact
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q2141836,chemical burn,http://www.wikidata.org/entity/Q21074571,eye contact
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q2681162,eye injury,http://www.wikidata.org/entity/Q21074571,eye contact
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q17320222,lacrimation,http://www.wikidata.org/entity/Q21074571,eye contact
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q21111972,eye irritation,http://www.wikidata.org/entity/Q21074571,eye contact
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q109186,swelling,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q127076,vomiting,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q183425,abdominal pain,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q186889,nausea,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q2141836,chemical burn,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q77776,Irritation,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q81938,pain,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q101991,inflammation,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q109186,swelling,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q178069,necrosis,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q1166142,erythema,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q1350326,frostbite,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q2141836,chemical burn,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q21116761,vesication,http://www.wikidata.org/entity/Q4669896,skin absorption
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q35805,cough,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q188008,dyspnea,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q1292082,sore throat,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q4087,ammonia,http://www.wikidata.org/entity/Q21167772,ammonia exposure,http://www.wikidata.org/entity/Q3529328,Labored breathing,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q1099,antimony,http://www.wikidata.org/entity/Q21167816,antimony exposure,http://www.wikidata.org/entity/Q40878,diarrhea,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q1099,antimony,http://www.wikidata.org/entity/Q21167816,antimony exposure,http://www.wikidata.org/entity/Q127076,vomiting,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q1099,antimony,http://www.wikidata.org/entity/Q21167816,antimony exposure,http://www.wikidata.org/entity/Q183425,abdominal pain,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q1099,antimony,http://www.wikidata.org/entity/Q21167816,antimony exposure,http://www.wikidata.org/entity/Q35805,cough,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q1099,antimony,http://www.wikidata.org/entity/Q21167816,antimony exposure,http://www.wikidata.org/entity/Q40878,diarrhea,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q1099,antimony,http://www.wikidata.org/entity/Q21167816,antimony exposure,http://www.wikidata.org/entity/Q127076,vomiting,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q1099,antimony,http://www.wikidata.org/entity/Q21167816,antimony exposure,http://www.wikidata.org/entity/Q183425,abdominal pain,http://www.wikidata.org/entity/Q10268830,inhalation
http://www.wikidata.org/entity/Q1099,antimony,http://www.wikidata.org/entity/Q21167816,antimony exposure,http://www.wikidata.org/entity/Q81938,pain,http://www.wikidata.org/entity/Q21074571,eye contact
http://www.wikidata.org/entity/Q1099,antimony,http://www.wikidata.org/entity/Q21167816,antimony exposure,http://www.wikidata.org/entity/Q2610154,red eye,http://www.wikidata.org/entity/Q21074571,eye contact
http://www.wikidata.org/entity/Q2468,hydrogen fluoride,http://www.wikidata.org/entity/Q21174755,hydrogen fluoride exposure,http://www.wikidata.org/entity/Q81938,pain,http://www.wikidata.org/entity/Q4669896,skin absorption
