#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2021-04-20"
#curie_map:
#  BFO: "http://purl.obolibrary.org/obo/BFO_"
#  CHEBI: "http://purl.obolibrary.org/obo/CHEBI_"
#  ECTO: "http://purl.obolibrary.org/obo/ECTO_"
#  ENVO: "http://purl.obolibrary.org/obo/ENVO_"
#  FOODON: "http://purl.obolibrary.org/obo/FOODON_"
#  GO: "http://purl.obolibrary.org/obo/GO_"
#  IAO: "http://purl.obolibrary.org/obo/IAO_"
#  MAXO: "http://purl.obolibrary.org/obo/MAXO_"
#  MRE: "http://purl.obolibrary.org/obo/MRE_"
#  NBO: "http://purl.obolibrary.org/obo/NBO_"
#  NCBITaxon: "http://purl.obolibrary.org/obo/NCBITaxon_"
#  NCIT: "http://purl.obolibrary.org/obo/NCIT_"
#  PATO: "http://purl.obolibrary.org/obo/PATO_"
#  PCO: "http://purl.obolibrary.org/obo/PCO_"
#  PECO: "http://purl.obolibrary.org/obo/PECO_"
#  RO: "http://purl.obolibrary.org/obo/RO_"
#  XCO: "http://purl.obolibrary.org/obo/XCO_"
#  ZECO: "http://purl.obolibrary.org/obo/ZECO_"
#  oio: "http://www.geneontology.org/formats/oboInOwl#"
#  owl: "http://www.w3.org/2002/07/owl#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
XCO:0000043	X-ray exposure	owl:equivalentClass	ZECO:0000215	x-ray	Lexical|Stemming	XCO	ZECO	rdf_matcher	0.5000854670848667	rdfs:label	rdfs:label	none	none	x-rai	unique	.
XCO:0000043	X-ray exposure	owl:equivalentClass	PECO:0007628	X-ray exposure	Lexical	XCO	PECO	rdf_matcher	0.5000834632314773	rdfs:label	rdfs:label	none	none	x-ray exposure	unique	.
MRE:0000046	Cigarette smoking	owl:equivalentClass	ECTO:0100003	exposure to cigarette smoking	Lexical	MRE	ECTO	rdf_matcher	0.5000812032209861	rdfs:label	rdfs:label	none	none	cigarettesmoking	unique	.
MRE:0000046	Cigarette smoking	owl:equivalentClass	XCO:0000079	cigarette smoking	Lexical	MRE	XCO	rdf_matcher	0.5000332808964176	rdfs:label	rdfs:label	none	none	cigarettesmoking	unique	.
GO:0009746	response to hexose	owl:equivalentClass	ECTO:9000164	exposure to hexose	Lexical|Stemming	GO	ECTO	rdf_matcher	0.5000885123493579	rdfs:label	oio:hasExactSynonym	none	none	hexos	unique	.
GO:0009746	response to hexose	owl:equivalentClass	PECO:0001012	hexose exposure	Lexical	GO	PECO	rdf_matcher	0.5000569052356271	rdfs:label	oio:hasNarrowSynonym	none	none	hexose	unique	.
ECTO:9000091	exposure to fertilizer	owl:equivalentClass	PECO:0007085	fertilizer exposure	Lexical	ECTO	PECO	rdf_matcher	0.5000894432123909	rdfs:label	oio:hasNarrowSynonym	none	none	fertilizer	unique	.
ECTO:0100004	exposure to cigar smoking	owl:equivalentClass	MRE:0000047	Cigar smoking	Lexical|Stemming	ECTO	MRE	rdf_matcher	0.500098592149507	rdfs:label	rdfs:label	none	none	cigar smok	unique	.
ECTO:0100004	exposure to cigar smoking	owl:equivalentClass	XCO:0000078	cigar smoking	Lexical	ECTO	XCO	rdf_matcher	0.5000507261287187	rdfs:label	rdfs:label	none	none	cigarsmoking	unique	.
XCO:0000312	potassium chloride solution	owl:equivalentClass	CHEBI:32588		Lexical	XCO	CHEBI	rdf_matcher	0.5000583024889123	oio:hasDbXref	dc:identifier	none	CHEBI:32588	CHEBI:32588	unique	.
NCIT:C44313	2-Nitropropane	owl:equivalentClass	ECTO:9001193	exposure to 2-nitropropane	Lexical	NCIT	ECTO	rdf_matcher	0.5000935144932798	oio:hasExactSynonym	rdfs:label	none	none	2nitropropane	unique	.
XCO:0000432	sucrose	owl:equivalentClass	ECTO:9000163	exposure to sucrose	Lexical|Stemming	XCO	ECTO	rdf_matcher	0.5000597041901275	rdfs:label	oio:hasExactSynonym	none	none	sucros	unique	.
XCO:0000432	sucrose	owl:equivalentClass	GO:0009744	response to sucrose	Lexical	XCO	GO	rdf_matcher	0.5000700119559115	rdfs:label	rdfs:label	none	none	sucrose	unique	.
XCO:0000432	sucrose	owl:equivalentClass	PECO:0001015	sucrose exposure	Lexical	XCO	PECO	rdf_matcher	0.5000671864907944	rdfs:label	rdfs:label	none	none	sucrose	unique	.
XCO:0000432	sucrose	owl:equivalentClass	CHEBI:17992		Lexical	XCO	CHEBI	rdf_matcher	0.500093717320834	oio:hasDbXref	dc:identifier	none	none	CHEBI:17992	many_to_one	.
GO:1905092	response to diosgenin	owl:equivalentClass	ECTO:9000511	exposure to diosgenin	Lexical|Stemming	GO	ECTO	rdf_matcher	0.5000677922943898	rdfs:label	oio:hasExactSynonym	none	none	diosgenin	unique	.
GO:0035634	response to stilbenoid	owl:equivalentClass	ECTO:9000251	exposure to stilbenoid	Lexical|Stemming	GO	ECTO	rdf_matcher	0.5000913603533228	rdfs:label	rdfs:label	none	none	stilbenoid	unique	.
ECTO:9001206	exposure to osmium tetroxide	owl:equivalentClass	NCIT:C163683	Osmium Tetroxide	Lexical|Stemming	ECTO	NCIT	rdf_matcher	0.5000950070963832	rdfs:label	oio:hasExactSynonym	none	none	osmium tetroxid	unique	.
ECTO:3000001	exposure to virus	owl:equivalentClass	NCIT:C14283	Virus	Lexical|Stemming	ECTO	NCIT	rdf_matcher	0.5000962931279359	oio:hasExactSynonym	oio:hasExactSynonym	none	none	virus	unique	.
ECTO:3000001	exposure to virus	owl:equivalentClass	GO:0009615	response to virus	Lexical	ECTO	GO	rdf_matcher	0.5000653321806887	oio:hasExactSynonym	oio:hasExactSynonym	none	none	viruses	unique	.
ECTO:3000001	exposure to virus	owl:equivalentClass	XCO:0000237	viral pathogen	Lexical	ECTO	XCO	rdf_matcher	0.5000252052399157	rdfs:label	oio:hasExactSynonym	none	none	virus	unique	.
XCO:0000539	doxorubicin	owl:equivalentClass	ECTO:9000419	exposure to doxorubicin	Lexical|Stemming	XCO	ECTO	rdf_matcher	0.5000837732543393	rdfs:label	rdfs:label	none	none	doxorubicin	unique	.
XCO:0000539	doxorubicin	owl:equivalentClass	GO:1902520	response to doxorubicin	Lexical	XCO	GO	rdf_matcher	0.500050086800515	rdfs:label	rdfs:label	none	none	doxorubicin	unique	.
ECTO:9001340	exposure to N-methyl-N'-nitro-N-nitrosoguanidine	owl:equivalentClass	NCIT:C44415	N-Methyl-N-nitro-N-Nitrosoguanidine	Lexical	ECTO	NCIT	rdf_matcher	0.5000815048016886	oio:hasExactSynonym	rdfs:label	none	none	methylnnitronitrosoguanidine	unique	.
ECTO:9001340	exposure to N-methyl-N'-nitro-N-nitrosoguanidine	owl:equivalentClass	PECO:0007553	N-methyl-N'-nitro-N-nitrosoguanidine exposure	Lexical|Stemming	ECTO	PECO	rdf_matcher	0.5000898673940467	oio:hasExactSynonym	rdfs:label	none	none	n-methyl-n'-nitro-n-nitrosoguanidin	unique	.
ECTO:9001340	exposure to N-methyl-N'-nitro-N-nitrosoguanidine	owl:equivalentClass	XCO:0000354	N-methyl-N'-nitro-N-nitrosoguanidine	Lexical	ECTO	XCO	rdf_matcher	0.500079217216809	rdfs:label	rdfs:label	none	none	methylnnitronitrosoguanidine	unique	.
ECTO:9000325	exposure to sodium dodecyl sulfate	owl:equivalentClass	GO:0072706	response to sodium dodecyl sulfate	Lexical|Stemming	ECTO	GO	rdf_matcher	0.500095258172487	oio:hasExactSynonym	rdfs:label	none	none	sodium dodecyl sulf	unique	.
MRE:0000104	Exposure to atrazine	owl:equivalentClass	ECTO:9000521	exposure to atrazine	Lexical	MRE	ECTO	rdf_matcher	0.5000714322811397	rdfs:label	rdfs:label	none	none	exposure to atrazine	unique	.
ECTO:9000913	exposure to 1,1,2,2-tetrachloroethane	owl:equivalentClass	MRE:0000133	Exposure to 1,1,2,2-tetrachloroethane	Lexical	ECTO	MRE	rdf_matcher	0.5000692583003259	rdfs:label	rdfs:label	none	none	12tetrachloroethane	many_to_one	.
CHEBI:17241		owl:equivalentClass	XCO:0000426	1H-pyrazole	Lexical	CHEBI	XCO	rdf_matcher	0.5000513349183079	dc:identifier	oio:hasDbXref	CHEBI:17241	none	CHEBI:17241	unique	.
ECTO:9000125	exposure to vitamin A	owl:equivalentClass	GO:0033189	response to vitamin A	Lexical|Stemming	ECTO	GO	rdf_matcher	0.5000790230011478	oio:hasExactSynonym	rdfs:label	none	none	vitamin a	unique	.
ECTO:9000125	exposure to vitamin A	owl:equivalentClass	XCO:0000468	vitamin A	Lexical|Stemming	ECTO	XCO	rdf_matcher	0.5000645244677002	rdfs:label	rdfs:label	none	none	vitamin a	unique	.
GO:0097315	response to N-acetyl-D-glucosamine	owl:equivalentClass	ECTO:9000350	exposure to N-acetyl-D-glucosamine	Lexical|Stemming	GO	ECTO	rdf_matcher	0.5000843542293927	rdfs:label	oio:hasExactSynonym	none	none	n-acetyl-d-glucosamin	unique	.
CHEBI:33281		owl:equivalentClass	XCO:0000482	antimicrobial agent	Lexical	CHEBI	XCO	rdf_matcher	0.5000730269912254	dc:identifier	oio:hasDbXref	none	none	CHEBI:33281	unique	.
ECTO:9000496	exposure to ionomycin	owl:equivalentClass	GO:1904636	response to ionomycin	Lexical	ECTO	GO	rdf_matcher	0.5000658459920043	oio:hasExactSynonym	rdfs:label	none	none	ionomycin	unique	.
GO:1901595	response to hesperadin	owl:equivalentClass	ECTO:9000399	exposure to hesperadin	Lexical	GO	ECTO	rdf_matcher	0.5000787000550182	rdfs:label	oio:hasExactSynonym	none	none	hesperadin	unique	.
GO:1904386	response to L-phenylalanine derivative	owl:equivalentClass	ECTO:9000470	exposure to L-phenylalanine derivative	Lexical	GO	ECTO	rdf_matcher	0.5000938085185268	rdfs:label	oio:hasExactSynonym	none	none	derivativelphenylalanine	unique	.
XCO:0000613	Adenosine triphosphate	owl:equivalentClass	GO:0033198	response to ATP	Lexical	XCO	GO	rdf_matcher	0.5000724744053666	rdfs:label	oio:hasExactSynonym	none	none	adenosinetriphosphate	many_to_one	.
GO:1903412	response to bile acid	owl:equivalentClass	ECTO:9000435	exposure to bile acid	Lexical	GO	ECTO	rdf_matcher	0.5000810909096343	rdfs:label	rdfs:label	none	none	acidbile	unique	.
XCO:0000456	retinyl palmitate	owl:equivalentClass	ECTO:9000127	exposure to retinyl palmitate	Lexical|Stemming	XCO	ECTO	rdf_matcher	0.5000642261311508	rdfs:label	oio:hasExactSynonym	none	none	retinyl palmit	unique	.
ECTO:9000394	exposure to benomyl	owl:equivalentClass	GO:1901561	response to benomyl	Lexical	ECTO	GO	rdf_matcher	0.5000993884515895	rdfs:label	rdfs:label	none	none	benomyl	unique	.
GO:0009635	response to herbicide	owl:equivalentClass	ECTO:0000515	exposure to herbicide	Lexical|Stemming	GO	ECTO	rdf_matcher	0.5000956869168325	rdfs:label	rdfs:label	none	none	herbicid	unique	.
GO:0009635	response to herbicide	owl:equivalentClass	PECO:0007183	herbicide exposure	Lexical	GO	PECO	rdf_matcher	0.5000773875164928	rdfs:label	oio:hasNarrowSynonym	none	none	herbicide	unique	.
XCO:0000295	diethylstilbestrol	owl:equivalentClass	ECTO:9001361	exposure to diethylstilbestrol	Lexical	XCO	ECTO	rdf_matcher	0.5000463991495323	rdfs:label	rdfs:label	none	none	diethylstilbestrol	unique	.
XCO:0000295	diethylstilbestrol	owl:equivalentClass	CHEBI:41922		Lexical	XCO	CHEBI	rdf_matcher	0.5000133921898149	oio:hasDbXref	dc:identifier	none	CHEBI:41922	CHEBI:41922	unique	.
ECTO:9000929	exposure to 2,2',3,4,4',5',6-Heptabromodiphenyl ether	owl:equivalentClass	MRE:0000170	Exposure to 2,2',3,4,4',5',6-heptabromodiphenyl ether	Lexical	ECTO	MRE	rdf_matcher	0.5000536300322643	oio:hasExactSynonym	rdfs:label	none	none	exposure to 2,2',3,4,4',5',6-heptabromodiphenyl ether	unique	.
CHEBI:16236		owl:equivalentClass	XCO:0000325	ethanol	Lexical	CHEBI	XCO	rdf_matcher	0.5000814397544997	dc:identifier	oio:hasDbXref	CHEBI:16236	none	CHEBI:16236	unique	.
ECTO:9000032	exposure to arsenic	owl:equivalentClass	GO:0046685	response to arsenic-containing substance	Lexical|Stemming	ECTO	GO	rdf_matcher	0.5000203368032207	rdfs:label	oio:hasExactSynonym	none	none	arsen	unique	.
ECTO:9000032	exposure to arsenic	owl:equivalentClass	NCIT:C28131	Arsenic	Lexical|Stemming	ECTO	NCIT	rdf_matcher	0.5000887876469053	rdfs:label	oio:hasExactSynonym	none	none	arsen	one_to_many	.
ECTO:9000032	exposure to arsenic	owl:equivalentClass	NCIT:C165476	Arsenic Exposure	Lexical	ECTO	NCIT	rdf_matcher	0.5000332081640078	rdfs:label	oio:hasExactSynonym	none	none	arsenic	one_to_many	.
ECTO:9000032	exposure to arsenic	owl:equivalentClass	MRE:0000109	Exposure to arsenic	Lexical	ECTO	MRE	rdf_matcher	0.5000923015152732	rdfs:label	rdfs:label	none	none	exposure to arsenic	unique	.
CHEBI:53181		owl:equivalentClass	XCO:0000263	pristane	Lexical	CHEBI	XCO	rdf_matcher	0.500071334390707	dc:identifier	oio:hasDbXref	CHEBI:53181	none	CHEBI:53181	unique	.
MRE:0000128	Exposure to organic compound	owl:equivalentClass	ECTO:0000135	exposure to organic compound	Lexical	MRE	ECTO	rdf_matcher	0.5000893125914179	rdfs:label	rdfs:label	none	none	exposure to organic compound	unique	.
MRE:0000181	Exposure to perchlorate	owl:equivalentClass	ECTO:9000931	exposure to perchlorate	Lexical	MRE	ECTO	rdf_matcher	0.5000787764226935	rdfs:label	oio:hasExactSynonym	none	none	exposure to perchlorate	unique	.
GO:1904014	response to serotonin	owl:equivalentClass	ECTO:9000456	exposure to serotonin	Lexical|Stemming	GO	ECTO	rdf_matcher	0.5000965446430611	rdfs:label	rdfs:label	none	none	serotonin	unique	.
ECTO:9000480	exposure to diphenidol	owl:equivalentClass	GO:1904560	response to diphenidol	Lexical	ECTO	GO	rdf_matcher	0.5000903344387576	oio:hasExactSynonym	rdfs:label	none	none	diphenidol	unique	.
XCO:0000472	chrysin	owl:equivalentClass	ECTO:9001380	exposure to chrysin	Lexical|Stemming	XCO	ECTO	rdf_matcher	0.5000935948099166	rdfs:label	rdfs:label	none	none	chrysin	unique	.
XCO:0000472	chrysin	owl:equivalentClass	CHEBI:75095		Lexical	XCO	CHEBI	rdf_matcher	0.5000247519803416	oio:hasDbXref	dc:identifier	none	CHEBI:75095	CHEBI:75095	unique	.
ECTO:9000376	exposure to formic acid	owl:equivalentClass	GO:1901425	response to formic acid	Lexical|Stemming	ECTO	GO	rdf_matcher	0.500097135193386	oio:hasExactSynonym	rdfs:label	none	none	formic acid	unique	.
GO:0010042	response to manganese ion	owl:equivalentClass	ECTO:9000946	exposure to manganese	Lexical	GO	ECTO	rdf_matcher	0.5000930274476538	oio:hasExactSynonym	rdfs:label	none	none	manganese	unique	.
GO:0010042	response to manganese ion	owl:equivalentClass	MRE:0000117	Exposure to manganese	Lexical	GO	MRE	rdf_matcher	0.5000665181246915	oio:hasExactSynonym	rdfs:label	none	none	manganese	unique	.
MRE:0000125	Exposure to tungsten	owl:equivalentClass	ECTO:9000953	exposure to tungsten	Lexical	MRE	ECTO	rdf_matcher	0.5000463408238411	rdfs:label	rdfs:label	none	none	tungsten	unique	.
GO:0010555	response to mannitol	owl:equivalentClass	ECTO:9000197	exposure to mannitol	Lexical	GO	ECTO	rdf_matcher	0.500084297893501	rdfs:label	rdfs:label	none	none	mannitol	unique	.
ECTO:9000251	exposure to stilbenoid	owl:equivalentClass	GO:0035634	response to stilbenoid	Lexical|Stemming	ECTO	GO	rdf_matcher	0.5000998947518673	oio:hasExactSynonym	rdfs:label	none	none	stilbenoid	unique	.
GO:1902351	response to imidacloprid	owl:equivalentClass	ECTO:9000415	exposure to imidacloprid	Lexical	GO	ECTO	rdf_matcher	0.5000717307771753	rdfs:label	oio:hasExactSynonym	none	none	imidacloprid	unique	.
ECTO:9000141	exposure to menaquinone	owl:equivalentClass	GO:0032572	response to menaquinone	Lexical	ECTO	GO	rdf_matcher	0.5000550784087062	rdfs:label	rdfs:label	none	none	menaquinone	unique	.
ECTO:9000413	exposure to strigolactone	owl:equivalentClass	GO:1902347	response to strigolactone	Lexical	ECTO	GO	rdf_matcher	0.5000964502709676	rdfs:label	rdfs:label	none	none	strigolactone	unique	.
ECTO:7000042	exposure to particle radiation	owl:equivalentClass	ZECO:0000217	particle radiation	Lexical|Stemming	ECTO	ZECO	rdf_matcher	0.5000749769465161	oio:hasExactSynonym	rdfs:label	none	none	particle radi	unique	.
PECO:0007218	blue light exposure	owl:equivalentClass	GO:0009637	response to blue light	Lexical|Stemming	PECO	GO	rdf_matcher	0.5000563150222683	rdfs:label	rdfs:label	none	none	blue light	unique	.
MRE:0000065	Poisoning	owl:equivalentClass	XCO:0000239	toxic substance	Lexical|Stemming	MRE	XCO	rdf_matcher	0.5000452311941209	rdfs:label	oio:hasRelatedSynonym	none	none	poison	unique	.
XCO:0000345	N-ethyl-N-nitrosourea	owl:equivalentClass	PECO:0007535	ethyl nitrosourea exposure	Lexical	XCO	PECO	rdf_matcher	0.5000633652323022	oio:hasExactSynonym	rdfs:label	none	none	ethylnitrosourea	unique	.
XCO:0000345	N-ethyl-N-nitrosourea	owl:equivalentClass	ECTO:9001342	exposure to N-ethyl-N-nitrosourea	Lexical	XCO	ECTO	rdf_matcher	0.5000751116098312	rdfs:label	rdfs:label	none	none	ethylnnitrosourea	unique	.
XCO:0000345	N-ethyl-N-nitrosourea	owl:equivalentClass	CHEBI:23995		Lexical	XCO	CHEBI	rdf_matcher	0.500051568008467	oio:hasDbXref	dc:identifier	none	none	CHEBI:23995	unique	.
NCIT:C163655	Ethion	owl:equivalentClass	ECTO:9000674	exposure to ethion	Lexical|Stemming	NCIT	ECTO	rdf_matcher	0.5000916976672909	rdfs:label	oio:hasExactSynonym	none	none	ethion	unique	.
ECTO:9000429	exposure to undecane	owl:equivalentClass	GO:1902784	response to undecane	Lexical|Stemming	ECTO	GO	rdf_matcher	0.5000888198640159	oio:hasExactSynonym	rdfs:label	none	none	undecan	unique	.
GO:1904404	response to formaldehyde	owl:equivalentClass	ECTO:0000439	exposure to formaldehyde	Lexical	GO	ECTO	rdf_matcher	0.5000966007745242	rdfs:label	rdfs:label	none	none	formaldehyde	unique	.
GO:1904404	response to formaldehyde	owl:equivalentClass	PECO:0007539	formaldehyde exposure	Lexical	GO	PECO	rdf_matcher	0.5000908028632663	rdfs:label	rdfs:label	none	none	formaldehyde	unique	.
NCIT:C163674	Methomyl	owl:equivalentClass	ECTO:9000770	exposure to methomyl	Lexical|Stemming	NCIT	ECTO	rdf_matcher	0.5000978959277071	oio:hasExactSynonym	oio:hasExactSynonym	none	none	methomyl	unique	.
XCO:0000435	antineoplastic agent	owl:equivalentClass	ECTO:9001737	exposure to antineoplastic agent	Lexical	XCO	ECTO	rdf_matcher	0.5000897296625331	rdfs:label	rdfs:label	none	none	agentantineoplastic	unique	.
XCO:0000435	antineoplastic agent	owl:equivalentClass	GO:0097327	response to antineoplastic agent	Lexical|Stemming	XCO	GO	rdf_matcher	0.5000497067043803	rdfs:label	rdfs:label	none	none	antineoplastic ag	unique	.
XCO:0000435	antineoplastic agent	owl:equivalentClass	CHEBI:35610		Lexical	XCO	CHEBI	rdf_matcher	0.5000641364346698	oio:hasDbXref	dc:identifier	none	none	CHEBI:35610	unique	.
NCIT:C44359	Coal Tar Pitch	owl:equivalentClass	ECTO:9000062	exposure to coal-tar pitch	Lexical	NCIT	ECTO	rdf_matcher	0.5000444594881416	rdfs:label	rdfs:label	none	none	coalpitchtar	unique	.
XCO:0000162	pentolinium	owl:equivalentClass	CHEBI:347401		Lexical	XCO	CHEBI	rdf_matcher	0.500087951719911	oio:hasDbXref	dc:identifier	none	CHEBI:347401	CHEBI:347401	one_to_many	.
XCO:0000162	pentolinium	owl:equivalentClass	CHEBI:55326		Lexical	XCO	CHEBI	rdf_matcher	0.5000641029992933	oio:hasDbXref	dc:identifier	none	CHEBI:55326	CHEBI:55326	one_to_many	.
ECTO:9000446	exposure to arsenite(3-)	owl:equivalentClass	GO:1903840	response to arsenite(3-)	Lexical|Stemming	ECTO	GO	rdf_matcher	0.5000711512753439	rdfs:label	rdfs:label	none	none	arsenite(3-)	unique	.
ZECO:0000224	magnetic field	owl:equivalentClass	PECO:0007621	magnetic field exposure	Lexical	ZECO	PECO	rdf_matcher	0.5000920300228457	rdfs:label	oio:hasNarrowSynonym	none	none	fieldmagnetic	unique	.
ECTO:9001087	exposure to 3,3'-Dimethylbenzidine	owl:equivalentClass	NCIT:C44428	o-Tolidine	Lexical|Stemming	ECTO	NCIT	rdf_matcher	0.5000825131676807	oio:hasExactSynonym	oio:hasExactSynonym	none	none	3,3'-dimethylbenzidin	unique	.
ECTO:2000005	exposure to hormone replacement therapy	owl:equivalentClass	MRE:0000246	Hormone replacement therapy	Lexical|Stemming	ECTO	MRE	rdf_matcher	0.500087033128482	rdfs:label	rdfs:label	none	none	hormone replacement rapi	unique	.
GO:1901322	response to chloramphenicol	owl:equivalentClass	ECTO:9000360	exposure to chloramphenicol	Lexical|Stemming	GO	ECTO	rdf_matcher	0.5000700000072748	rdfs:label	oio:hasExactSynonym	none	none	chloramphenicol	unique	.
ECTO:9000269	exposure to leucine	owl:equivalentClass	GO:0043201	response to leucine	Lexical	ECTO	GO	rdf_matcher	0.5000785798279134	oio:hasExactSynonym	rdfs:label	none	none	leucine	unique	.
XCO:0000426	1H-pyrazole	owl:equivalentClass	ECTO:9001337	exposure to 1H-pyrazole	Lexical|Stemming	XCO	ECTO	rdf_matcher	0.5000939709613658	rdfs:label	oio:hasExactSynonym	none	none	1h-pyrazol	unique	.
XCO:0000426	1H-pyrazole	owl:equivalentClass	CHEBI:17241		Lexical	XCO	CHEBI	rdf_matcher	0.5000448199522015	oio:hasDbXref	dc:identifier	none	CHEBI:17241	CHEBI:17241	unique	.
ECTO:9000341	exposure to nitrite	owl:equivalentClass	GO:0080033	response to nitrite	Lexical|Stemming	ECTO	GO	rdf_matcher	0.5000922593553112	rdfs:label	rdfs:label	none	none	nitrit	unique	.
XCO:0000505	anti-inflammatory agent	owl:equivalentClass	CHEBI:67079		Lexical	XCO	CHEBI	rdf_matcher	0.5000746041732446	oio:hasDbXref	dc:identifier	none	none	CHEBI:67079	unique	.
NCIT:C44454	Thioacetamide	owl:equivalentClass	ECTO:9001270	exposure to thioacetamide	Lexical|Stemming	NCIT	ECTO	rdf_matcher	0.5000803032340857	oio:hasExactSynonym	oio:hasExactSynonym	none	none	thioacetamid	unique	.
PECO:0001018	cadmium exposure	owl:equivalentClass	NCIT:C44348	Cadmium	Lexical|Stemming	PECO	NCIT	rdf_matcher	0.5000926785774047	rdfs:label	oio:hasExactSynonym	none	none	cadmium	unique	.
PECO:0001018	cadmium exposure	owl:equivalentClass	ECTO:0001566	exposure to cadmium	Lexical	PECO	ECTO	rdf_matcher	0.5000541457115388	rdfs:label	rdfs:label	none	none	cadmium	unique	.
PECO:0001018	cadmium exposure	owl:equivalentClass	GO:0046686	response to cadmium ion	Lexical	PECO	GO	rdf_matcher	0.5000850422273803	rdfs:label	oio:hasExactSynonym	none	none	cadmium	unique	.
PECO:0001018	cadmium exposure	owl:equivalentClass	MRE:0000112	Exposure to cadmium	Lexical	PECO	MRE	rdf_matcher	0.5000747892431212	oio:hasNarrowSynonym	rdfs:label	none	none	cadmium	unique	.
MRE:0000145	Exposure to 2,5-dimethylfuran	owl:equivalentClass	ECTO:9000922	exposure to 2,5-Dimethylfuran	Lexical	MRE	ECTO	rdf_matcher	0.5000785632236416	rdfs:label	rdfs:label	none	none	exposure to 2,5-dimethylfuran	unique	.
GO:1990054	response to temozolomide	owl:equivalentClass	ECTO:9000514	exposure to temozolomide	Lexical|Stemming	GO	ECTO	rdf_matcher	0.5000957780849933	rdfs:label	oio:hasExactSynonym	none	none	temozolomid	unique	.
