?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/CDNO_0200697>	"The concentration of carrageenan when measured in some material entity."	
<http://purl.obolibrary.org/obo/ECTO_9001443>	"An exposure to diethyl ether."	
<http://purl.obolibrary.org/obo/ECTO_9000622>	"An exposure to 2,4,4',6-tetrachlorobiphenyl."	
<http://purl.obolibrary.org/obo/ENVO_03501300>	"An environmental material consisting of organic matter from plants and/or animals that is used in agriculture as fertilizer."@en	
<http://purl.obolibrary.org/obo/CHEBI_48873>	"Any drug that binds to but does not activate cholinergic receptors, thereby blocking the actions of acetylcholine or cholinergic agonists."	
<http://purl.obolibrary.org/obo/ECTO_9000583>	"An exposure to azithromycin."	
<http://purl.obolibrary.org/obo/CHEBI_35343>	"A 17-hydroxy steroid in which the hydroxy group at position 17 has a beta-configuration."	"MetaCyc:17-beta-Hydroxysteroids KEGG:C03051"
<http://purl.obolibrary.org/obo/CHEBI_83730>	"A 2-(4-chlorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)hexanenitrile that has R configuration."	"PMID:21967215 PMID:23939881 Reaxys:24694089 PMID:25043148 PMID:22288843 PMID:24014248"
<http://purl.obolibrary.org/obo/CHEBI_24644>	"Mono-hydroperoxy (e)icosatetraenoic acids (HPETEs) are the primary products of lipoxygenase-catalysed oxygenation of arachidonic acid."	
<http://purl.obolibrary.org/obo/CHEBI_133331>	"An inorganic oxide that is an oxide of any metal."	
<http://purl.obolibrary.org/obo/CHEBI_145414>	"A methyl 2-[4-(2,4-dichlorophenoxy)phenoxy]propanoate that is the (S)-enantiomer of diclofop-methyl."	"CAS:75021-72-6 AGR:IND44326446 PMID:26501920"
<http://purl.obolibrary.org/obo/CHEBI_16066>	"A retinal having 2E,4Z,6E,8E-double bond geometry."	"HMDB:HMDB0002152 KEGG:C02110 PMID:19830653 LIPID_MAPS_instance:LMPR01090003 PMID:16026160 Reaxys:1914181 PMID:10655150 CAS:564-87-4 PMID:18563917 PMID:11161734 PMID:17003450 PMID:2440575 PMID:19339306 PMID:11390257 MetaCyc:CPD-881 PMID:18606814 PMID:18370404"
<http://purl.obolibrary.org/obo/CHEBI_33317>		
<http://purl.obolibrary.org/obo/ECTO_9001413>	"An exposure to trifluorochlorine."	
<http://purl.obolibrary.org/obo/CHEBI_68612>	"An EC 3.4.14.* (dipeptidyl- and tripeptidyl-peptidases) inhibitor that specifically inhibits dipeptidyl peptidase-4 (EC 3.4.14.5)."	"Wikipedia:Dipeptidyl_peptidase-4_inhibitor"
<http://purl.obolibrary.org/obo/CHEBI_15841>	"A peptide containing ten or more amino acid residues."	"KEGG:C00403"
<http://purl.obolibrary.org/obo/CHEBI_35404>	"A chromium oxoanion resulting from the removal of two protons from chromic acid."	"Gmelin:2047 CAS:13907-45-4 CAS:11104-59-9 MolBase:125 PMID:22805940 PMID:23430150 Wikipedia:Chromate_and_dichromate MetaCyc:CPD-4422 PMID:21804974 UM-BBD_compID:c0803"
<http://purl.obolibrary.org/obo/NCBITaxon_89593>		"GC_ID:1"
<http://purl.obolibrary.org/obo/CHEBI_50903>	"A role played by a chemical compound which is known to  induce a process of carcinogenesis  by corrupting  normal cellular pathways, leading to the acquistion of tumoral capabilities."	
<http://purl.obolibrary.org/obo/PO_0020031>	"An embryo root (PO:0000045) that is the basal continuation of a hypocotyl (PO:0020100) in a plant embryo (PO:0009009) or a seedling (PO:0000003)."	"PO_GIT:344"
<http://purl.obolibrary.org/obo/FOODON_03400172>	"Food product that is 1) ready or nearly ready for consumption; 2) usually a composite of several foods or ingredients that often belong to distinct product types; 3) usually formulated, mixed and partially or fully cooked. Prepared foods often undergo several of the processes listed in *F. EXTENT OF HEAT TREATMENT* and *H. TREATMENT APPLIED*; these factors should be carefully considered in indexing. The classification of prepared food products emphasizes consumption characteristics. [FDA CFSAN 1995]"@en	"http://www.langual.org/langual_thesaurus.asp?termid=A0172"
<http://purl.obolibrary.org/obo/CHEBI_4735>		"KNApSAcK:C00062378 KEGG:D00052 PMID:35964552 PMID:35343279 Wikipedia:Ethylenediaminetetraacetic_acid PMID:34370848 PMID:34277313 PPDB:1337 DrugBank:DB00974 PDBeChem:EDT PMID:34481414 PMID:36200920 CAS:60-00-4 PMID:35305029 PMID:36566396 PMID:36597320 Drug_Central:987 PMID:36348502 PMID:34152137 PMID:35936934 Chemspider:5826 HMDB:HMDB0015109 KEGG:C00284 PMID:36187868 PMID:34135967 PMID:36265367 Reaxys:1716295 PMID:36540522 PMID:33351441 PMID:36314569 PMID:35859250 PMID:35006635 PMID:36297869 PMID:36229181"
<http://purl.obolibrary.org/obo/ENVO_01001565>	"Rain which is composed of water droplets falling to a planetary surface during a rainfall process."	
<http://purl.obolibrary.org/obo/ECTO_9000395>	"An exposure to paraquat."	
<http://purl.obolibrary.org/obo/CHEBI_38260>	"Any of a class of heterocyclic amines having a saturated five-membered ring."	
<http://purl.obolibrary.org/obo/CHEBI_16162>	"A dihydroxybenzoate that is the  conjugate base of o-orsellinic acid."	"MetaCyc:CPD-47 Reaxys:14405027"
<http://purl.obolibrary.org/obo/CHEBI_15407>	"A  phenethylamine alkaloid that is 2-phenylethanamine substituted by a methyl group at the amino nitrogen and a methyl and a hydroxy group at position 2 and 1 respectively."	"Drug_Central:1024 DrugBank:DB01364 PMID:13809594 Reaxys:2208730 VSDB:2959 PMID:27662264 PMID:27846433 PMID:21465337 PMID:13359219 KEGG:C01575 Chemspider:4856 KNApSAcK:C00001409 CAS:299-42-3 PMID:25660335 Wikipedia:Ephedrine KEGG:D00124 Gmelin:261389"
<http://purl.obolibrary.org/obo/CHEBI_34440>	"A member of the class of phenols that is phenol which is para-substituted with a nonyl group."	"CAS:104-40-5 LINCS:LSM-19987 PMID:24805085 PMID:21823570 KEGG:C14550 Reaxys:2047450 PPDB:1543 PMID:22133150 HMDB:HMDB0038982 PMID:18506497"
<http://purl.obolibrary.org/obo/CHEBI_61950>	"Any substance that interacts with tubulin to promote polymerisation of microtubules."	"PMID:11470606"
<http://purl.obolibrary.org/obo/CHEBI_50913>	"Any compound used for the purpose of preserving biological tissues from decay in such a way as to allow for the preparation of thin, stained sections for subsequent histological study."	"Wikipedia:Fixation_(histology)"
<http://purl.obolibrary.org/obo/CHEBI_83752>	"The (2S,3R)-stereoisomer of 2-(4-chlorophenyl)-3-cyclopropyl-1-(1H-1,2,4-triazol-1-yl)butan-2-ol."	
<http://purl.obolibrary.org/obo/UBERON_0011134>	"Joint in which the articulating bones or cartilages are connected by ligaments or fibrocartilage without an intervening synovial cavity. Examples: sagittal suture, inferior tibiofibular syndesmosis, costochondral joint, pubic symphysis."	
<http://purl.obolibrary.org/obo/ECTO_9001512>	"An exposure to trimethylamine."	
<http://purl.obolibrary.org/obo/ENVO_03000036>	"A material accumulation process during which solid particles are pulled through a water body by gravitation or centrifugal force and which ends when they settle on a solid surface."	
<http://purl.obolibrary.org/obo/PATO_0002374>	"Recurrent and often more or less cyclic alteration."	
<http://purl.obolibrary.org/obo/CHEBI_16716>	"A six-carbon aromatic annulene in which each carbon atom donates one of its two 2p electrons into a delocalised pi system. A toxic, flammable liquid byproduct of coal distillation, it is used as an industrial solvent. Benzene is a carcinogen that also damages bone marrow and the central nervous system."	"PDBeChem:BNZ PMID:14677922 PMID:15935818 PMID:23222815 CAS:71-43-2 PMID:12857942 Beilstein:969212 PMID:19228219 PMID:6353911 PMID:17373369 PMID:8124204 PMID:11993966 Reaxys:969212 PMID:18407866 HMDB:HMDB0001505 PMID:18836923 PMID:11684179 KEGG:C01407 PMID:18072742 PMID:21325737 PMID:15468289 PMID:23534829 Gmelin:1671 PMID:16161967 PMID:18409691 UM-BBD_compID:c0142 PMID:23088855 Wikipedia:Benzene"
<http://purl.obolibrary.org/obo/CHEBI_33231>	"A substance that kills or slows the growth of Mycobacterium tuberculosis and is used in the treatment of tuberculosis."	
<http://purl.obolibrary.org/obo/ECTO_0001571>	"An exposure to mercury molecular entity."	
<http://purl.obolibrary.org/obo/ECTO_9000254>	"An exposure to trichostatin A."	
<http://purl.obolibrary.org/obo/ECTO_9000630>	"An exposure to 4-nonylphenol."	
<http://purl.obolibrary.org/obo/CHEBI_2571>	"An  alcohol derived from an aliphatic compound."	"KEGG:C02525"
<http://purl.obolibrary.org/obo/ENVO_06105101>	"An environnmental material which 1) is composed primarily of polymers with high molecular mass and 2) once deformed does not spontaneously return to its original shape."@en	
<http://purl.obolibrary.org/obo/CHEBI_50780>	"An agent which regulates the physiologic mechanisms that control the appetite and food intake."	
<http://purl.obolibrary.org/obo/CHEBI_32852>	"The L-enantiomer of  valinium."	
<http://purl.obolibrary.org/obo/NCBITaxon_40548>		
<http://purl.obolibrary.org/obo/CHEBI_62215>	"A class of secondary metabolites developed by many plants to influence the behaviour, growth or survival of herbivores, and thus acting as a defence against herbivory."	
<http://purl.obolibrary.org/obo/ECTO_9000801>	"An exposure to 2,3',4,4',5'-Pentachlorobiphenyl."	
<http://purl.obolibrary.org/obo/NBO_0009003>	"A predator behavior involving actively stalking prey over a distance."	
<http://purl.obolibrary.org/obo/FOODON_03312033>		"SUBSET_SIREN:F12033"
<http://purl.obolibrary.org/obo/CHEBI_90688>	"A guanidinium ion obtained by monoprotonation of metformin."	
<http://purl.obolibrary.org/obo/CHEBI_33444>		
<http://purl.obolibrary.org/obo/CHEBI_81822>	"A pyridinecarboxamide obtained by formal condensation of the carboxy group of 2-chloronicotinic acid with the amino group of 4'-chlorobiphenyl-2-amine. A fungicide active against a broad range of fungal pathogens including Botrytis spp., Alternaria spp. and Sclerotinia spp. for use on a wide range of crops including fruit, vegetables and ornamentals."	"PMID:24936710 Reaxys:10092464 PMID:24901961 KEGG:C18547 CAS:188425-85-6 Pesticides:boscalid PMID:24711278 PPDB:86 PMID:24893153 PMID:24380616"
<http://purl.obolibrary.org/obo/CHEBI_51270>	"Compounds containing a tetracene skeleton."	
<http://purl.obolibrary.org/obo/ECTO_9001745>	"An exposure to antilipemic drug."	
<http://purl.obolibrary.org/obo/CHEBI_23849>	"Any terpenoid derived from a diterpene. The term includes compounds in which the C20 skeleton of the parent diterpene has been rearranged or modified by the removal of one or more skeletal atoms (generally methyl groups)."	"LIPID_MAPS_class:LMPR0104"
<http://purl.obolibrary.org/obo/CHEBI_27092>		
<http://purl.obolibrary.org/obo/CHEBI_13643>	"A diol in which the two hydroxy groups are on different carbon atoms, usually but not necessarily adjacent."	
<http://purl.obolibrary.org/obo/CHEBI_136702>	"A member of the class of azetidines that is melagatran in which the carboxylic acid group has been converted into the corresponding ethyl ester and in which the amidine group has been converted to the corresponding hydroxylamine. Tautomeric with the oxime form of ximelagatran."	"Reaxys:9741940 PMID:28338626"
<http://purl.obolibrary.org/obo/ECTO_9000724>	"An exposure to triclocarban."	
<http://purl.obolibrary.org/obo/ENVO_03510024>	"A category of hard and potentially shiny (clear or colored) finishes which can be applied to materials including wood or metal."	
<http://purl.obolibrary.org/obo/CHEBI_67200>	"A provitamin that can be converted into vitamin A by enzymes from animal tissues."	
<http://purl.obolibrary.org/obo/ECTO_9000547>	"An exposure to 3,3',4,4'-tetrachlorobiphenyl."	
<http://purl.obolibrary.org/obo/ECTO_0070157>	"An exposure to olive oil (extra-virgin) via ingestion."	
<http://purl.obolibrary.org/obo/ECTO_9001888>	"An exposure to mitogen."	
<http://purl.obolibrary.org/obo/CDNO_0000019>	"Potassium ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts"@en	
<http://purl.obolibrary.org/obo/CHEBI_33731>	"A cluster is a number of metal centres grouped close together which can have direct metal bonding interactions or interactions through a bridging ligand, but are not necessarily held together by these interactions."	
<http://purl.obolibrary.org/obo/CHEBI_33314>		"WebElements:Rn Gmelin:16242 CAS:10043-92-2"
<http://purl.obolibrary.org/obo/CHEBI_35975>		
<http://purl.obolibrary.org/obo/CHEBI_36756>	"A sesquiterpene that is dodecane substituted by methyl groups at positions 2, 6 and 10."	"CAS:3891-98-3 Patent:US2008098645 Reaxys:1719672 MetaCyc:CPD-8764 Patent:US7399323 Beilstein:1719672 LIPID_MAPS_instance:LMPR0103010000"
<http://purl.obolibrary.org/obo/FOODON_00001132>	"Suidae is a family of artiodactyl mammals which are commonly called pigs, hogs or boars. In addition to numerous fossil species, 17 extant species are currently recognized (or 18 counting domestic pigs and wild boars separately), classified into between four and eight genera. The family includes the domestic pig, Sus scrofa domesticus or Sus domesticus, in addition to numerous species of wild pig, such as babirusas and warthogs. All suids, or swine, are native to the Old World, ranging from Asia to Europe and Africa."@en	
<http://purl.obolibrary.org/obo/CHEBI_75284>	"A monocarboxylic acid anion that is the conjugate base of (R)-2-(4-chloro-2-methylphenoxy)propanoic acid, obtained by deprotonation of the carboxy group."	"PMID:16731970 PMID:12501996 MetaCyc:CPD-15723 PMID:16820480"
<http://purl.obolibrary.org/obo/FOODON_03304497>		"SUBSET_SIREN:F4497"
<http://purl.obolibrary.org/obo/CHEBI_60251>	"R = C or H. The iminium ion resulting from the protonation of one of the imine nitrogens of guanidine or its derivatives."	
<http://purl.obolibrary.org/obo/CHEBI_38340>		
<http://purl.obolibrary.org/obo/ENVO_00000143>	"The sloping margin of a river, serving to confine it to its natural channel."	"https://en.wikipedia.org/wiki/River_bank TGN:21155"
<http://purl.obolibrary.org/obo/FOODON_00001149>	"Food items that are rich in sugar, any one or type of which is called a confection. Modern usage may include substances rich in artificial sweeteners as well."@en	
<http://purl.obolibrary.org/obo/CHEBI_38088>	"An intramolecular cyclic ester of a hydroxy sulfonic acid, analogous to lactone."	
<http://purl.obolibrary.org/obo/ENVO_01001226>	"A natural environment which is located on a land mass."	
<http://purl.obolibrary.org/obo/FOODON_00003427>	"A caryopsis fruit of a maize plant  (Zea mays subsp. mays)."@en	
<http://purl.obolibrary.org/obo/CHEBI_22931>	"A bisphenol substituted by at least one bromo group and its derivatives."	
<http://purl.obolibrary.org/obo/CHEBI_30182>	"An organolead compound consisting of four ethyl groups joined to a central lead atom."	"Wikipedia:Tetraethyllead PMID:21619368 MolBase:600 Reaxys:3903146 Patent:US1907701 PMID:1237103 CAS:78-00-2 PMID:114153 PMID:4072246 PMID:3623324 PMID:21650851 PMID:11496989 Gmelin:68951 PMID:15327329 PMID:277123 PMID:20877807 PMID:3606972 PMID:4041386 Beilstein:3903146 PMID:7481745"
<http://purl.obolibrary.org/obo/CHEBI_50637>	"A mononitronaphthalene carrying a nitro group at position 2."	"PMID:13778003 PMID:7026224 CAS:581-89-5 Reaxys:2046354 Beilstein:2046354 KEGG:C19474 PMID:4986249"
<http://purl.obolibrary.org/obo/CDNO_0100050>	"Fructose which is derived from inulin derived from fructan."@en	
<http://purl.obolibrary.org/obo/ECTO_0070035>	"An exposure to strawberry (whole, raw) via ingestion."	
<http://purl.obolibrary.org/obo/CHEBI_52206>	"A biological role played by the molecular entity or part thereof within a biochemical context."	
<http://purl.obolibrary.org/obo/ECTO_9002092>	"An exposure to insect attractant."	
<http://purl.obolibrary.org/obo/CHEBI_4738>		"PPDB:268 KEGG:C11081 CAS:759-94-4"
<http://purl.obolibrary.org/obo/FOODON_03460119>	"A food modification process by microbial or enzymatic action which results in molecular changes in any food component."@en	"http://www.langual.org/langual_thesaurus.asp?termid=H0119"
<http://purl.obolibrary.org/obo/ENVO_01001047>	"An environmental system which has its properties and dynamics determined by those parts of a planetary subsurface zone which are not saline."	
<http://purl.obolibrary.org/obo/CHEBI_48550>	"An EC 1.1.1.* (oxidoreductase acting on donor CH-OH group, NAD(+) or NADP(+) acceptor) inhibitor that interferes with the action of aldehyde reductase (EC 1.1.1.21)."	
<http://purl.obolibrary.org/obo/FOODON_00003496>	"A rosette of a spinach plant (Spinacia oleracea)"@en	
<http://purl.obolibrary.org/obo/CHEBI_53557>	"A toluene meta-diisocyanate in which the isocyanato groups are at positions 2 and 6 relative to the methyl group on the benzene ring."	"Reaxys:2211546 Wikipedia:Toluene_diisocyanate PMID:7503403 PMID:21878336 PMID:22229538 PMID:24950844 PMID:9811173 PMID:24572447 PMID:6296214 Beilstein:2211546 PMID:21725071 PMID:17042142 CAS:91-08-7"
<http://purl.obolibrary.org/obo/ECTO_6000007>	"An exposure event involving Substance Abuse"	
<http://purl.obolibrary.org/obo/ECTO_9002090>	"An exposure to cytochrome-b6f complex inhibitor."	
<http://purl.obolibrary.org/obo/CHEBI_46668>	"Any  carboxylic ester derivative of an amino acid."	
<http://purl.obolibrary.org/obo/CHEBI_47788>	"Any oxo steroid where an oxo substituent is located at position 3."	"KEGG:C01876 MetaCyc:3-Oxosteroids PMID:9811880"
<http://purl.obolibrary.org/obo/CHEBI_28747>	"A pyridinemonocarboxylic acid in which the carboxy group is located at position 2. It is an intermediate in the metabolism of tryptophan."	"PMID:7969932 PMID:15206716 Reaxys:109595 Wikipedia:Picolinic_acid Beilstein:109595 PMID:16303883 KEGG:C10164 PMID:7064867 PMID:23630570 PMID:24119749 Gmelin:3318 KNApSAcK:C00002063 CAS:98-98-6 PMID:15290459 PDBeChem:6PC HMDB:HMDB0002243 PMID:15206793 MetaCyc:PICOLINATE"
